DepMap_ID	source	improve_sample_id	improve_chem_id	study	auc	ic50	ec50	ec50se	r2fit	einf	hs	aac1	auc1	dss1
ACH-000624	gCSI	ACH-000624	Drug_1214	242542	0.8193		6.559	4.867	0.815	0.585	0.4006	0.0578	0.9422	0.0073
ACH-000277	gCSI	ACH-000277	Drug_795	242942	0.8779		7.326	0.0213	0.9988	0.7797	1.506	0.0767	0.9233	0.0339
ACH-000811	gCSI	ACH-000811	Drug_988	237902	0.5122	7.015	7.038	0.0387	0.9965	0.0364	1.47	0.2643	0.7357	0.2358
ACH-000996	gCSI	ACH-000996	Drug_1493	238922	0.6611	6.352	6.497	0.1205	0.9555	0.1858	1.392	0.3838	0.6162	0.3466
ACH-000637	gCSI	ACH-000637	Drug_865	240207	0.6518	6.498	8.011	0.116	0.9777	0.4781	0.8977	0.2746	0.7254	0.2123
ACH-000202	gCSI	ACH-000202	Drug_865	240030	0.5854	7.625	7.986	0.0979	0.9651	0.3759	1.678	0.3249	0.6751	0.2824
ACH-000147	gCSI	ACH-000147	Drug_1163	237528	0.9885		6.244	0.3828	0.5414	0.9692	4.0	0.01	0.99	0.0
ACH-000212	gCSI	ACH-000212	Drug_1493	238802	0.7016	6.178	6.426	0.0502	0.9937	0.2622	1.299	0.3342	0.6658	0.2927
ACH-001239	gCSI	ACH-001239	Drug_795	243201	0.5632	7.186	7.339	0.0236	0.9984	0.2152	1.593	0.2759	0.7241	0.2438
ACH-000205	gCSI	ACH-000205	Drug_435	241085	0.8876	4.522	4.522	1.257	0.9594	0.0	0.8633	0.0702	0.9298	0.0355
ACH-000147	gCSI	ACH-000147	Drug_1214	242779	0.7604		8.615	0.0536	0.9888	0.6884	1.892	0.1316	0.8684	0.0863
ACH-000277	gCSI	ACH-000277	Drug_883	239311	0.9728	2.849	2.849	29.48	0.8055	0.0001	0.5529	0.0128	0.9872	0.0
ACH-000449	gCSI	ACH-000449	Drug_865	240234	0.4031	8.412	8.493	0.0388	0.9903	0.203	2.792	0.5208	0.4792	0.4925
ACH-000768	gCSI	ACH-000768	Drug_1163	237405	0.9235	3.064	3.064	18.76	0.6932	0.0	0.3571	0.0563	0.9437	0.0069
ACH-000017	gCSI	ACH-000017	Drug_201	243539	0.7246	5.652	5.652	0.0462	0.9961	0.0	1.561	0.1775	0.8225	0.1519
ACH-000231	gCSI	ACH-000231	Drug_1127	241786	0.5288	7.771	8.011	0.0354	0.9949	0.295	1.614	0.4592	0.5408	0.4156
ACH-000811	gCSI	ACH-000811	Drug_865	240324	0.6359	7.433	7.754	0.0287	0.9963	0.4182	2.445	0.2675	0.7325	0.2324
ACH-000621	gCSI	ACH-000621	Drug_988	237803	0.4242	7.46	7.461	0.0456	0.9886	0.0017	2.156	0.3822	0.6178	0.3631
ACH-000624	gCSI	ACH-000624	Drug_1127	241728	0.4247	7.808	7.851	0.0236	0.9969	0.1037	2.365	0.5468	0.4532	0.523
ACH-000541	gCSI	ACH-000541	Drug_435	240996	0.8931	4.779	5.096	0.0027	1.0	0.415	2.424	0.0638	0.9362	0.0453
ACH-000247	gCSI	ACH-000247	Drug_795	243088	0.5818	6.635	6.647	0.0245	0.9972	0.052	4.0	0.1608	0.8392	0.1497
ACH-000915	gCSI	ACH-000915	Drug_1493	238959	0.5639	6.718	6.742	0.0168	0.9989	0.0457	1.761	0.5109	0.4891	0.4852
ACH-000657	gCSI	ACH-000657	Drug_1163	237159	0.9903		6.3	0.6625	0.4649	0.9746	4.0	0.0087	0.9913	0.0
ACH-000304	gCSI	ACH-000304	Drug_201	243603	0.7805	5.316	5.316	0.3251	0.9491	0.0	1.683	0.1002	0.8998	0.0777
ACH-000329	gCSI	ACH-000329	Drug_1493	238814	0.8254	5.303	5.876	0.0487	0.9929	0.4417	1.626	0.1727	0.8273	0.1373
ACH-000435	gCSI	ACH-000435	Drug_883	239251	0.7929		6.9	0.1584	0.9626	0.5717	0.8942	0.2133	0.7867	0.1499
ACH-000470	gCSI	ACH-000470	Drug_279	241547	0.9779		8.347	0.0	-0.0	0.9558	0.0	0.0221	0.9779	0.0
ACH-000996	gCSI	ACH-000996	Drug_895	240529	0.8579	4.794	4.794	0.6699	0.9637	0.0	1.038	0.0892	0.9108	0.0567
ACH-000687	gCSI	ACH-000687	Drug_279	241234	0.5411	6.753	6.753	2.856	0.9988	0.0	2.493	0.0099	0.9901	0.0017
ACH-000139	gCSI	ACH-000139	Drug_1214	242701	0.8114		8.526	0.0957	0.9574	0.75	3.767	0.0998	0.9002	0.0609
ACH-000849	gCSI	ACH-000849	Drug_795	243059	0.5092	7.437	7.553	0.0399	0.9951	0.1713	1.567	0.3376	0.6624	0.3052
ACH-000013	gCSI	ACH-000013	Drug_988	237841	0.4244	7.493	7.496	0.0076	0.9997	0.012	4.0	0.3873	0.6127	0.3766
ACH-000366	gCSI	ACH-000366	Drug_1214	242748	0.719		8.055	1.665	0.7758	0.573	0.4509	0.1429	0.8571	0.0697
ACH-000864	gCSI	ACH-000864	Drug_1163	237214	1.0		2.643	961.8	0.0	0.8844	1.609	0.0	1.0	0.0
ACH-000204	gCSI	ACH-000204	Drug_279	241423	0.9265		5.047	28510.0	-0.1251	0.5789	2.309	0.0	1.0	0.0
ACH-000667	gCSI	ACH-000667	Drug_795	242949	0.4677	7.194	7.194	0.0433	0.9933	0.0	4.0	0.3129	0.6871	0.3026
ACH-000595	gCSI	ACH-000595	Drug_1493	239006	0.6452	6.485	6.598	0.0317	0.9962	0.1806	1.731	0.4077	0.5923	0.3756
ACH-000936	gCSI	ACH-000936	Drug_795	242885	0.6214	7.106	7.369	0.0488	0.9921	0.3257	1.737	0.2421	0.7579	0.2086
ACH-000366	gCSI	ACH-000366	Drug_435	241125	0.9903		3.752	0.0	-0.0	0.9805	0.0	0.0097	0.9903	0.0
ACH-000414	gCSI	ACH-000414	Drug_201	243314	0.6956	5.825	5.825	0.0407	0.9973	0.0	1.413	0.2216	0.7784	0.1931
ACH-000270	gCSI	ACH-000270	Drug_895	240542	0.82	4.748	4.748	1.278	0.9621	0.0	0.4745	0.1689	0.8311	0.1039
ACH-000633	gCSI	ACH-000633	Drug_865	240062	0.8516		9.53	0.612	0.3041	0.8326	0.7491	0.1428	0.8572	0.0503
ACH-000356	gCSI	ACH-000356	Drug_435	241046	0.9338		5.214	0.0497	0.9614	0.6726	4.0	0.0443	0.9557	0.0278
ACH-000012	gCSI	ACH-000012	Drug_435	240929	0.6767	5.989	6.01	0.054	0.9915	0.0349	1.544	0.3322	0.6678	0.3046
ACH-000910	gCSI	ACH-000910	Drug_1005	238215	0.9243	3.702	3.702	34.69	0.6973	0.0	0.5101	0.0144	0.9856	0.0
ACH-000149	gCSI	ACH-000149	Drug_435	241127	0.8295	5.022	5.022	0.1157	0.9938	0.0	2.519	0.0912	0.9088	0.0756
ACH-000637	gCSI	ACH-000637	Drug_1087	242230	0.6096	6.22	6.53	0.5195	0.9747	0.1052	0.3311	0.4362	0.5638	0.3735
ACH-000820	gCSI	ACH-000820	Drug_279	241550	0.9925		3.794	0.0	-0.0	0.9851	0.0	0.0075	0.9925	0.0
ACH-000356	gCSI	ACH-000356	Drug_865	240242	0.5607	8.025	8.35	0.0599	0.9805	0.3941	2.076	0.3732	0.6268	0.3297
ACH-000886	gCSI	ACH-000886	Drug_1005	238069	0.7168	5.695	5.695	3.422	0.8449	0.0	1.154	0.0363	0.9637	0.0136
ACH-000450	gCSI	ACH-000450	Drug_865	240232	0.5924	7.87	8.109	0.0217	0.9977	0.4049	3.019	0.329	0.671	0.2928
ACH-000478	gCSI	ACH-000478	Drug_501	239925	0.9329	4.494	4.701	3942.0	0.4864	0.4259	4.0	0.001	0.999	0.0
ACH-000270	gCSI	ACH-000270	Drug_1214	242569	0.7205		8.733	0.1569	0.9659	0.6434	0.9271	0.1622	0.8378	0.1016
ACH-000470	gCSI	ACH-000470	Drug_201	243573	0.7694	5.384	5.384	0.1025	0.989	0.0	3.007	0.1032	0.8968	0.0898
ACH-000315	gCSI	ACH-000315	Drug_1127	241787	0.531	7.828	7.918	0.0111	0.9981	0.2818	4.0	0.4508	0.5492	0.422
ACH-000776	gCSI	ACH-000776	Drug_201	243496	0.6575	6.052	6.052	0.1012	0.9906	0.0	1.007	0.2849	0.7151	0.2453
ACH-001075	gCSI	ACH-001075	Drug_865	240097	0.3823	8.055	8.076	0.0236	0.9981	0.0909	4.0	0.4948	0.5052	0.4793
ACH-000755	gCSI	ACH-000755	Drug_1127	241731	0.7283		7.285	0.0476	0.9893	0.5037	2.272	0.2291	0.7709	0.1894
ACH-000984	gCSI	ACH-000984	Drug_1214	242559	0.7611		9.007	0.0525	0.9916	0.7131	1.466	0.1505	0.8495	0.093
ACH-000633	gCSI	ACH-000633	Drug_895	240462	0.8596	4.812	4.812	0.8838	0.9262	0.0	1.267	0.0783	0.9217	0.0512
ACH-000207	gCSI	ACH-000207	Drug_1127	241657	0.4365	7.93	7.996	0.0267	0.9955	0.1539	2.422	0.5483	0.4517	0.5212
ACH-000749	gCSI	ACH-000749	Drug_1163	237226	0.9903		6.671	0.3439	0.6707	0.9783	4.0	0.0095	0.9905	0.0
ACH-000859	gCSI	ACH-000859	Drug_1005	238102	0.972		6.916	0.7089	0.6082	0.9424	1.173	0.0143	0.9857	0.0
ACH-000384	gCSI	ACH-000384	Drug_883	239546	0.837		6.671	0.3686	0.9418	0.6352	0.599	0.1628	0.8372	0.0909
ACH-000783	gCSI	ACH-000783	Drug_1163	237196	0.9862		1.485	0.0	-0.0	0.9724	0.0	0.0138	0.9862	0.0
ACH-000535	gCSI	ACH-000535	Drug_1163	237181	0.9784		7.037	0.8168	0.5099	0.9573	0.864	0.0227	0.9773	0.0
ACH-000048	gCSI	ACH-000048	Drug_501	239955	0.9423		7.225	0.5083	0.3846	0.8927	1.732	0.0626	0.9374	0.0028
ACH-000291	gCSI	ACH-000291	Drug_1005	238252	0.6964	5.821	5.821	280.3	0.9665	0.0	4.0	0.0051	0.9949	0.0005
ACH-000478	gCSI	ACH-000478	Drug_1493	239121	0.7763	5.694	5.765	0.0319	0.9957	0.2397	4.0	0.2125	0.7875	0.1957
ACH-000366	gCSI	ACH-000366	Drug_1163	237498	0.9717		1.397	0.0	-0.0	0.9434	0.0	0.0283	0.9717	0.0
ACH-000273	gCSI	ACH-000273	Drug_1005	238290	0.8825	2.546	2.546	72.65	0.2999	0.0	0.2249	0.0667	0.9333	0.0047
ACH-000315	gCSI	ACH-000315	Drug_895	240573	0.6799	5.994	6.025	0.0362	0.9963	0.0516	1.554	0.3301	0.6699	0.3022
ACH-000219	gCSI	ACH-000219	Drug_1087	241998	0.2881	8.863	8.971	0.1202	0.9492	0.1381	1.303	0.8448	0.1552	0.8275
ACH-000019	gCSI	ACH-000019	Drug_1163	237401	0.879	4.726	4.726	2625.0	0.4344	0.0	4.0	0.0022	0.9978	0.0
ACH-000994	gCSI	ACH-000994	Drug_1127	241745	0.6859		8.339	0.0539	0.9764	0.5657	4.0	0.3205	0.6795	0.2667
ACH-000384	gCSI	ACH-000384	Drug_895	240748	0.8075	5.136	5.136	0.2485	0.9762	0.0	1.146	0.1419	0.8581	0.109
ACH-000114	gCSI	ACH-000114	Drug_895	240733	0.7935	5.227	5.25	0.1248	0.9945	0.0261	1.015	0.1672	0.8328	0.1296
ACH-000139	gCSI	ACH-000139	Drug_1127	241888	0.4129	8.325	8.42	0.0272	0.994	0.2031	2.386	0.6048	0.3952	0.5719
ACH-000414	gCSI	ACH-000414	Drug_1087	242104	0.6396	5.701	7.22	0.355	0.9842	0.317	0.2876	0.4022	0.5978	0.3358
ACH-000456	gCSI	ACH-000456	Drug_1087	242012	0.5224	6.906	8.369	0.5343	0.9667	0.2487	0.2042	0.5151	0.4849	0.4612
ACH-000183	gCSI	ACH-000183	Drug_1105	238599	0.2846	8.317	8.318	0.0203	0.9987	0.006	3.876	0.4678	0.5322	0.4569
ACH-000231	gCSI	ACH-000231	Drug_501	239772	0.9121		6.98	0.3102	0.5675	0.823	4.0	0.0919	0.9081	0.0406
ACH-000048	gCSI	ACH-000048	Drug_1005	238345	0.7895	5.844	6.208	0.1346	0.9984	0.4281	2.313	0.0392	0.9608	0.023
ACH-000768	gCSI	ACH-000768	Drug_883	239424	0.9327	-0.4417	0.0	73.56	0.5678	0.0791	0.1693	0.0628	0.9372	0.0008
ACH-000247	gCSI	ACH-000247	Drug_201	243491	0.759	5.601	5.744	0.0346	0.9987	0.172	1.281	0.1693	0.8307	0.1363
ACH-000348	gCSI	ACH-000348	Drug_1127	241909	0.421	7.734	7.769	0.0234	0.9975	0.0783	2.087	0.5425	0.4575	0.5182
ACH-000633	gCSI	ACH-000633	Drug_1105	238452	0.8029		8.205	0.1349	0.9579	0.7187	1.324	0.1242	0.8758	0.0715
ACH-000019	gCSI	ACH-000019	Drug_1087	242246	0.859	-2.773	0.0	62.76	0.7332	0.2287	0.0958	0.1479	0.8521	0.0532
ACH-000380	gCSI	ACH-000380	Drug_988	237765	0.3854	7.687	7.687	0.0417	0.9943	0.0	4.0	0.4423	0.5577	0.432
ACH-000998	gCSI	ACH-000998	Drug_279	241250	0.9697		4.946	0.0	-0.0	0.9395	0.0	0.0303	0.9697	0.0
ACH-000551	gCSI	ACH-000551	Drug_501	239771	0.9091		7.442	0.2927	0.6402	0.8415	3.82	0.1014	0.8986	0.0381
ACH-000838	gCSI	ACH-000838	Drug_435	240792	0.9286	4.398	4.398	5.732	0.981	0.0	2.048	0.0121	0.9879	0.0021
ACH-000617	gCSI	ACH-000617	Drug_1493	239060	0.7494	5.502	5.502	0.0462	0.9965	0.0	1.414	0.216	0.784	0.1876
ACH-000375	gCSI	ACH-000375	Drug_883	239263	0.7051	5.676	6.752	1.175	0.6244	0.3602	0.5148	0.2987	0.7013	0.2258
ACH-000148	gCSI	ACH-000148	Drug_1214	242572	0.6781		8.888	0.118	0.9771	0.6019	0.9688	0.1966	0.8034	0.135
ACH-000291	gCSI	ACH-000291	Drug_201	243498	0.7269	5.718	5.805	0.0594	0.9975	0.0945	1.054	0.2038	0.7962	0.1654
ACH-000768	gCSI	ACH-000768	Drug_501	239825	0.9381		7.072	0.3683	0.5276	0.8792	4.0	0.0656	0.9344	0.0108
ACH-000329	gCSI	ACH-000329	Drug_988	237599	0.5028	7.155	7.181	0.0152	0.999	0.0622	2.22	0.2904	0.7096	0.2701
ACH-000231	gCSI	ACH-000231	Drug_865	240172	0.6913		8.433	0.1012	0.9699	0.5819	1.262	0.266	0.734	0.2024
ACH-000204	gCSI	ACH-000204	Drug_1105	238607	0.3878	8.275	8.313	0.0576	0.9897	0.1485	4.0	0.3997	0.6003	0.3822
ACH-000958	gCSI	ACH-000958	Drug_1127	241960	0.4518	7.946	7.994	0.023	0.9976	0.1764	3.986	0.5333	0.4667	0.5109
ACH-000996	gCSI	ACH-000996	Drug_988	237707	0.4599	7.331	7.344	0.0328	0.9954	0.0309	2.057	0.3415	0.6585	0.3205
ACH-000974	gCSI	ACH-000974	Drug_865	240325	0.5982	8.133	8.412	0.0629	0.9544	0.4536	3.709	0.3454	0.6546	0.3047
ACH-000551	gCSI	ACH-000551	Drug_1214	242598	0.6777		8.658	0.0952	0.9905	0.5813	0.8214	0.1831	0.8169	0.121
ACH-000906	gCSI	ACH-000906	Drug_1493	238851	0.5929	6.594	6.62	0.0282	0.9954	0.0679	2.383	0.4694	0.5306	0.4487
ACH-000733	gCSI	ACH-000733	Drug_1493	238872	0.6335	6.431	6.517	0.0673	0.985	0.1263	1.478	0.4163	0.5837	0.3831
ACH-000805	gCSI	ACH-000805	Drug_1493	238826	0.5549	6.67	6.67	0.0644	0.991	0.0	1.096	0.5164	0.4836	0.4799
ACH-000204	gCSI	ACH-000204	Drug_1127	241831	0.4074	8.103	8.139	0.05	0.99	0.1408	4.0	0.5889	0.4111	0.5684
ACH-000183	gCSI	ACH-000183	Drug_865	240209	0.4885	7.934	8.078	0.0217	0.9979	0.2474	2.065	0.4098	0.5902	0.3768
ACH-000595	gCSI	ACH-000595	Drug_883	239411	0.915		0.0	263.7	0.1477	0.562	0.0908	0.0847	0.9153	0.0016
ACH-000411	gCSI	ACH-000411	Drug_435	240775	0.8466		5.922	0.9156	0.7708	0.5293	0.6613	0.161	0.839	0.0984
ACH-000183	gCSI	ACH-000183	Drug_1087	242232	0.9511		0.0	220.0	0.1103	0.5392	0.1396	0.0514	0.9486	0.0
ACH-000277	gCSI	ACH-000277	Drug_1493	238906	0.873		5.844	0.0361	0.9947	0.5868	4.0	0.124	0.876	0.0972
ACH-000383	gCSI	ACH-000383	Drug_1105	238652	0.481	8.39	8.788	0.1169	0.9631	0.3485	1.303	0.3865	0.6135	0.3369
ACH-000936	gCSI	ACH-000936	Drug_895	240456	0.8207	5.047	5.047	0.1582	0.9944	0.0	1.078	0.1283	0.8717	0.0943
ACH-000984	gCSI	ACH-000984	Drug_895	240532	0.799	5.17	5.17	0.4258	0.9611	0.0	0.9407	0.1607	0.8393	0.1212
ACH-000111	gCSI	ACH-000111	Drug_895	240512	0.9028	4.249	4.249	2.028	0.9487	0.0	0.6737	0.068	0.932	0.0279
ACH-000073	gCSI	ACH-000073	Drug_279	241276	0.9263		5.05	549.2	0.0	0.5792	2.314	0.0	1.0	0.0
ACH-000637	gCSI	ACH-000637	Drug_501	239807	0.8377		7.203	0.3247	0.6473	0.6959	2.095	0.1756	0.8244	0.1193
ACH-000714	gCSI	ACH-000714	Drug_1127	241800	0.4696	7.676	7.718	0.0127	0.9993	0.1439	3.572	0.4923	0.5077	0.4722
ACH-000680	gCSI	ACH-000680	Drug_865	240348	0.9398	3.022	3.022	55.92	0.5655	0.0	0.4046	0.0165	0.9835	0.0
ACH-000643	gCSI	ACH-000643	Drug_895	240525	0.8863	3.2	5.247	0.5506	0.9595	0.483	0.7175	0.1017	0.8983	0.0527
ACH-000573	gCSI	ACH-000573	Drug_1214	242655	0.7448		8.855	0.3595	0.9339	0.6747	0.5786	0.1585	0.8415	0.0834
ACH-000536	gCSI	ACH-000536	Drug_1163	237178	0.9884		6.31	0.802	0.2365	0.97	4.0	0.0103	0.9897	0.0
ACH-000881	gCSI	ACH-000881	Drug_1005	238219	0.682	5.908	5.908	221.0	0.8911	0.0	4.0	0.0102	0.9898	0.0037
ACH-000356	gCSI	ACH-000356	Drug_501	239839	0.8488		7.154	0.2736	0.744	0.7124	2.093	0.1623	0.8377	0.1064
ACH-000223	gCSI	ACH-000223	Drug_895	240516	0.859	4.761	4.761	0.8578	0.9549	0.0	0.9216	0.0939	0.9061	0.058
ACH-000260	gCSI	ACH-000260	Drug_1005	238305	0.6571	6.057	6.057	0.9055	0.9454	0.0	1.48	0.0612	0.9388	0.0385
ACH-001239	gCSI	ACH-001239	Drug_1105	238762	0.5813		9.039	0.0853	0.9538	0.5013	3.231	0.3289	0.6711	0.2823
ACH-000212	gCSI	ACH-000212	Drug_1163	237189	0.9376	-11.29	0.0	241.2	0.1077	0.4827	0.1293	0.0608	0.9392	0.0
ACH-000207	gCSI	ACH-000207	Drug_201	243278	0.6885	5.995	6.066	0.0154	0.9996	0.0955	1.304	0.2558	0.7442	0.2227
ACH-000219	gCSI	ACH-000219	Drug_795	242809	0.4305	7.534	7.542	0.0139	0.9991	0.0354	3.607	0.39	0.61	0.3771
ACH-000565	gCSI	ACH-000565	Drug_279	241492	0.9451		7.144	0.0	-0.0	0.8902	0.0	0.0549	0.9451	0.0
ACH-000984	gCSI	ACH-000984	Drug_1127	241746	0.6035	8.058	8.388	0.0293	0.9874	0.4578	3.257	0.407	0.593	0.3588
ACH-000219	gCSI	ACH-000219	Drug_1127	241589	0.4423	7.486	7.504	0.0109	0.9994	0.045	2.236	0.4957	0.5043	0.475
ACH-000204	gCSI	ACH-000204	Drug_435	241023	0.8765	4.686	4.686	0.3588	0.9936	0.0	1.161	0.0662	0.9338	0.0385
ACH-000012	gCSI	ACH-000012	Drug_501	239722	0.8225		7.393	0.2474	0.7249	0.6861	2.156	0.1968	0.8032	0.1375
ACH-000148	gCSI	ACH-000148	Drug_1105	238535	0.3369	8.397	8.475	0.0237	0.9984	0.1104	1.396	0.4552	0.5448	0.4207
ACH-000775	gCSI	ACH-000775	Drug_795	242937	0.7568	6.312	6.766	0.0394	0.9927	0.4724	2.773	0.106	0.894	0.0838
ACH-000880	gCSI	ACH-000880	Drug_501	239587	0.8218		7.125	0.3162	0.5951	0.658	2.162	0.1905	0.8095	0.1377
ACH-000024	gCSI	ACH-000024	Drug_795	243094	0.4532	7.32	7.324	0.0093	0.9996	0.0132	2.731	0.3426	0.6574	0.3271
ACH-000202	gCSI	ACH-000202	Drug_1163	237209	0.957		0.0	234.8	0.0951	0.5482	0.1483	0.0411	0.9589	0.0
ACH-001239	gCSI	ACH-001239	Drug_1163	237547	0.9008		7.183	0.8126	0.5685	0.8127	0.652	0.1057	0.8943	0.0317
ACH-000364	gCSI	ACH-000364	Drug_1127	241977	0.5767	7.14	7.314	0.0298	0.9972	0.2337	1.566	0.3598	0.6402	0.3237
ACH-000168	gCSI	ACH-000168	Drug_1493	239045	0.6076	6.356	6.356	0.022	0.9983	0.0009	4.0	0.434	0.566	0.4237
ACH-001306	gCSI	ACH-001306	Drug_1493	238768	0.6751	6.019	6.032	0.0165	0.9986	0.0406	2.82	0.3351	0.6649	0.3192
ACH-000048	gCSI	ACH-000048	Drug_795	243187	0.4366	7.642	7.674	0.025	0.9971	0.0799	2.343	0.4037	0.5963	0.3827
ACH-000965	gCSI	ACH-000965	Drug_435	241096	0.8392	4.805	5.093	0.5795	0.9693	0.1874	0.7097	0.1384	0.8616	0.0888
ACH-000657	gCSI	ACH-000657	Drug_279	241186	0.9252		7.892	0.5364	0.4149	0.8847	4.0	0.0269	0.9731	0.0025
ACH-001075	gCSI	ACH-001075	Drug_1163	237276	0.8049		6.771	0.1273	0.9137	0.5775	3.273	0.1961	0.8039	0.1574
ACH-000536	gCSI	ACH-000536	Drug_895	240398	0.8243	5.236	5.481	0.095	0.9823	0.2888	1.53	0.149	0.851	0.1189
ACH-000430	gCSI	ACH-000430	Drug_865	240357	0.4376	8.405	8.551	0.0243	0.9968	0.2585	2.163	0.4956	0.5044	0.4594
ACH-000330	gCSI	ACH-000330	Drug_1493	238848	0.6952	5.817	5.817	0.0775	0.9959	0.0	0.887	0.305	0.695	0.2606
ACH-000383	gCSI	ACH-000383	Drug_1163	237439	0.9906		6.708	0.6815	0.414	0.9792	4.0	0.0093	0.9907	0.0
ACH-000470	gCSI	ACH-000470	Drug_435	241145	0.8418		6.339	0.0647	0.9822	0.5941	2.042	0.1745	0.8255	0.1321
ACH-000805	gCSI	ACH-000805	Drug_895	240433	0.7749	5.745	5.888	0.0189	0.9983	0.2849	2.559	0.223	0.777	0.1988
ACH-000573	gCSI	ACH-000573	Drug_895	240627	0.7745	5.346	5.955	0.1746	0.9859	0.3162	0.7139	0.2365	0.7635	0.1776
ACH-000966	gCSI	ACH-000966	Drug_1493	238957	0.5326	7.03	7.144	0.1025	0.9754	0.1079	0.9259	0.5665	0.4335	0.5219
ACH-000223	gCSI	ACH-000223	Drug_795	242945	0.6843	6.985	7.161	0.0651	0.9835	0.4008	4.0	0.1823	0.8177	0.1602
ACH-000966	gCSI	ACH-000966	Drug_865	240164	0.4859	8.166	8.328	0.0457	0.9873	0.2873	2.286	0.4349	0.5651	0.3994
ACH-000456	gCSI	ACH-000456	Drug_795	242822	0.4143	7.925	7.953	0.0165	0.998	0.111	3.789	0.4551	0.5449	0.4384
ACH-000972	gCSI	ACH-000972	Drug_1127	241740	0.3688	8.136	8.18	0.0246	0.9966	0.094	2.093	0.6306	0.3694	0.6045
ACH-000946	gCSI	ACH-000946	Drug_795	242959	0.5119	6.973	6.976	0.0004	1.0	0.016	3.902	0.2518	0.7482	0.2409
